2025-03-27 14:48:23, TL_1, 5
2025-03-27 14:53:23, TL_2, 10
2025-03-27 14:58:23, TL_3, 15
2025-03-27 15:03:23, TL_4, 20
2025-03-27 15:08:23, TL_5, 25
2025-03-27 15:13:23, TL_6, 30
2025-03-27 15:18:23, TL_7, 35
2025-03-27 15:23:23, TL_8, 40
2025-03-27 15:28:23, TL_9, 45
2025-03-27 15:33:23, TL_10, 50
2025-03-27 15:38:23, TL_1, 55
2025-03-27 15:43:23, TL_2, 60
2025-03-27 15:48:23, TL_3, 65
2025-03-27 15:53:23, TL_4, 70
2025-03-27 15:58:23, TL_5, 75
2025-03-27 16:03:23, TL_6, 80
2025-03-27 16:08:23, TL_7, 85
2025-03-27 16:13:23, TL_8, 90
2025-03-27 16:18:23, TL_9, 95
2025-03-27 16:23:23, TL_10, 100
2025-03-27 16:28:23, TL_1, 15
2025-03-27 16:33:23, TL_2, 25
2025-03-27 16:38:23, TL_3, 35
2025-03-27 16:43:23, TL_4, 45
2025-03-27 16:48:23, TL_5, 55
2025-03-27 16:53:23, TL_6, 65
2025-03-27 16:58:23, TL_7, 75
2025-03-27 17:03:23, TL_8, 85
2025-03-27 17:08:23, TL_9, 95
2025-03-27 17:13:23, TL_10, 105
2025-03-27 17:18:23, TL_1, 110
2025-03-27 17:23:23, TL_2, 115
2025-03-27 17:28:23, TL_3, 120
2025-03-27 17:33:23, TL_4, 125
2025-03-27 17:38:23, TL_5, 130
2025-03-27 17:43:23, TL_6, 135
2025-03-27 17:48:23, TL_7, 140
2025-03-27 17:53:23, TL_8, 145
2025-03-27 17:58:23, TL_9, 150
2025-03-27 18:03:23, TL_10, 155
2025-03-27 18:08:23, TL_1, 160
2025-03-27 18:13:23, TL_2, 165
2025-03-27 18:18:23, TL_3, 170
2025-03-27 18:23:23, TL_4, 175
2025-03-27 18:28:23, TL_5, 180
2025-03-27 18:33:23, TL_6, 185
